Date,Price,Open,High,Low,Vol.,Change %
8-Feb-16,1853.44,1873.25,1873.25,1828.46,-,-1.42%
5-Feb-16,1880.05,1913.07,1913.07,1872.65,-,-1.85%
4-Feb-16,1915.45,1911.67,1927.35,1900.52,-,0.15%
3-Feb-16,1912.53,1907.07,1918.01,1872.23,-,0.50%
2-Feb-16,1903.03,1935.26,1935.26,1897.29,-,-1.87%
1-Feb-16,1939.38,1936.94,1947.20,1920.30,-,-0.04%
29-Jan-16,1940.24,1894.00,1940.24,1894.00,-,2.48%
28-Jan-16,1893.36,1885.22,1902.96,1873.65,-,0.55%
27-Jan-16,1882.95,1902.52,1916.99,1872.70,-,-1.09%
26-Jan-16,1903.63,1878.79,1906.73,1878.79,-,1.41%
25-Jan-16,1877.08,1906.28,1906.28,1875.97,-,-1.56%
22-Jan-16,1906.90,1877.40,1908.85,1877.40,-,2.03%
21-Jan-16,1868.99,1861.46,1889.85,1848.98,-,0.52%
20-Jan-16,1859.33,1876.18,1876.18,1812.29,-,-1.17%
19-Jan-16,1881.33,1888.66,1901.44,1864.60,-,0.05%
15-Jan-16,1880.33,1916.68,1916.68,1857.83,-,-2.16%
14-Jan-16,1921.84,1891.68,1934.47,1878.93,-,1.67%
13-Jan-16,1890.28,1940.34,1950.33,1886.41,-,-2.50%
12-Jan-16,1938.68,1927.83,1947.38,1914.35,-,0.78%
11-Jan-16,1923.67,1926.12,1935.65,1901.10,-,0.09%
8-Jan-16,1922.03,1945.97,1960.40,1918.46,-,-1.08%
7-Jan-16,1943.09,1985.32,1985.32,1938.83,-,-2.37%
6-Jan-16,1990.26,2011.71,2011.71,1979.05,-,-1.31%
5-Jan-16,2016.71,2013.78,2021.94,2004.17,-,0.20%
4-Jan-16,2012.66,2038.20,2038.20,1989.68,-,-1.53%
31-Dec-15,2043.94,2060.59,2062.54,2043.62,-,-0.94%
30-Dec-15,2063.36,2077.34,2077.34,2061.97,-,-0.72%
29-Dec-15,2078.36,2060.54,2081.56,2060.54,-,1.06%
28-Dec-15,2056.50,2057.77,2057.77,2044.20,-,-0.22%
24-Dec-15,2060.99,2063.52,2067.36,2058.73,-,-0.16%
23-Dec-15,2064.29,2042.20,2064.73,2042.20,-,1.24%
22-Dec-15,2038.97,2023.15,2042.74,2020.49,-,0.88%
21-Dec-15,2021.15,2010.27,2022.90,2005.93,-,0.78%
18-Dec-15,2005.55,2040.81,2040.81,2005.33,-,-1.78%
17-Dec-15,2041.89,2073.76,2076.37,2041.66,-,-1.50%
16-Dec-15,2073.07,2046.50,2076.72,2042.43,-,1.45%
15-Dec-15,2043.41,2025.55,2053.87,2025.55,-,1.06%
14-Dec-15,2021.94,2013.37,2022.92,1993.26,-,0.48%
11-Dec-15,2012.37,2047.27,2047.27,2008.80,-,-1.94%
10-Dec-15,2052.23,2047.93,2067.65,2045.67,-,0.23%
9-Dec-15,2047.62,2061.17,2080.33,2036.53,-,-0.77%
8-Dec-15,2063.59,2073.39,2073.85,2052.32,-,-0.65%
7-Dec-15,2077.07,2090.42,2090.42,2066.78,-,-0.70%
4-Dec-15,2091.69,2051.24,2093.84,2051.24,-,2.05%
3-Dec-15,2049.62,2080.71,2085.00,2042.35,-,-1.44%
2-Dec-15,2079.51,2101.71,2104.27,2077.11,-,-1.10%
1-Dec-15,2102.63,2082.93,2103.37,2082.93,-,1.07%
30-Nov-15,2080.41,2090.95,2093.81,2080.41,-,-0.46%
27-Nov-15,2090.11,2088.82,2093.29,2084.13,-,0.06%
25-Nov-15,2088.87,2089.30,2093.00,2086.30,-,-0.01%
24-Nov-15,2089.14,2084.42,2094.12,2070.29,-,0.12%
23-Nov-15,2086.59,2089.41,2095.61,2081.39,-,-0.12%
20-Nov-15,2089.17,2082.82,2097.06,2082.82,-,0.38%
19-Nov-15,2081.24,2083.70,2086.74,2078.76,-,-0.11%
18-Nov-15,2083.58,2051.99,2085.31,2051.99,-,1.62%
17-Nov-15,2050.44,2053.67,2066.69,2045.90,-,-0.13%
16-Nov-15,2053.19,2022.08,2053.22,2019.39,-,1.49%
13-Nov-15,2023.04,2044.64,2044.64,2022.02,-,-1.12%
12-Nov-15,2045.97,2072.29,2072.29,2045.66,-,-1.40%
11-Nov-15,2075.00,2083.41,2086.94,2074.85,-,-0.32%
10-Nov-15,2081.72,2077.19,2083.67,2069.91,-,0.15%
9-Nov-15,2078.58,2096.56,2096.56,2068.24,-,-0.98%
6-Nov-15,2099.20,2098.60,2101.91,2083.74,-,-0.03%
5-Nov-15,2099.93,2101.68,2108.78,2090.41,-,-0.11%
4-Nov-15,2102.31,2110.60,2114.59,2096.98,-,-0.35%
3-Nov-15,2109.79,2102.63,2116.48,2097.51,-,0.27%
2-Nov-15,2104.05,2080.76,2106.20,2080.76,-,1.19%
30-Oct-15,2079.36,2090.00,2094.32,2079.34,-,-0.48%
29-Oct-15,2089.41,2088.35,2092.52,2082.63,-,-0.04%
28-Oct-15,2090.35,2066.48,2090.35,2063.11,-,1.18%
27-Oct-15,2065.89,2068.75,2070.37,2058.84,-,-0.26%
26-Oct-15,2071.18,2075.08,2075.14,2066.53,-,-0.19%
23-Oct-15,2075.15,2058.19,2079.74,2058.19,-,1.10%
22-Oct-15,2052.51,2021.88,2055.20,2021.88,-,1.66%
21-Oct-15,2018.94,2033.47,2037.97,2017.22,-,-0.58%
20-Oct-15,2030.77,2033.13,2039.12,2026.61,-,-0.14%
19-Oct-15,2033.66,2031.73,2034.45,2022.31,-,0.03%
16-Oct-15,2033.11,2024.37,2033.54,2020.46,-,0.46%
15-Oct-15,2023.86,1996.47,2024.15,1996.47,-,1.49%
14-Oct-15,1994.24,2003.66,2009.56,1990.73,-,-0.47%
13-Oct-15,2003.69,2015.00,2022.34,2001.78,-,-0.68%
12-Oct-15,2017.46,2015.65,2018.66,2010.55,-,0.13%
9-Oct-15,2014.89,2013.73,2020.13,2007.61,-,0.07%
8-Oct-15,2013.43,1994.01,2016.50,1987.53,-,0.88%
7-Oct-15,1995.83,1982.34,1999.31,1976.44,-,0.80%
6-Oct-15,1979.92,1986.63,1991.62,1971.99,-,-0.36%
5-Oct-15,1987.05,1954.33,1989.17,1954.33,-,1.83%
2-Oct-15,1951.36,1921.77,1951.36,1893.70,-,1.43%
1-Oct-15,1923.82,1919.65,1927.21,1900.70,-,0.20%
30-Sep-15,1920.03,1887.14,1920.53,1887.14,-,1.91%
29-Sep-15,1884.09,1881.90,1899.48,1871.91,-,0.12%
28-Sep-15,1881.77,1929.18,1929.18,1879.21,-,-2.57%
25-Sep-15,1931.34,1935.93,1952.89,1921.50,-,-0.05%
24-Sep-15,1932.24,1934.81,1937.17,1908.92,-,-0.34%
23-Sep-15,1938.76,1943.24,1949.52,1932.57,-,-0.20%
22-Sep-15,1942.74,1961.39,1961.39,1929.22,-,-1.23%
21-Sep-15,1966.97,1960.84,1979.64,1955.80,-,0.46%
18-Sep-15,1958.03,1989.66,1989.66,1953.45,-,-1.62%
17-Sep-15,1990.20,1995.33,2020.86,1986.73,-,-0.26%
16-Sep-15,1995.31,1978.02,1997.26,1977.93,-,0.87%
15-Sep-15,1978.09,1955.10,1983.19,1954.30,-,1.28%
14-Sep-15,1953.03,1963.06,1963.06,1948.27,-,-0.41%
11-Sep-15,1961.05,1951.45,1961.05,1939.19,-,0.45%
10-Sep-15,1952.29,1941.59,1965.29,1937.19,-,0.53%
9-Sep-15,1942.04,1971.45,1988.63,1937.88,-,-1.39%
8-Sep-15,1969.41,1927.30,1970.42,1927.30,-,2.51%
4-Sep-15,1921.22,1947.76,1947.76,1911.21,-,-1.53%
3-Sep-15,1951.13,1950.79,1975.01,1944.72,-,0.12%
2-Sep-15,1948.86,1916.52,1948.91,1916.52,-,1.83%
1-Sep-15,1913.85,1970.09,1970.09,1903.07,-,-2.96%
31-Aug-15,1972.18,1986.73,1986.73,1965.98,-,-0.84%
28-Aug-15,1988.87,1986.06,1993.48,1975.19,-,0.06%
27-Aug-15,1987.66,1942.77,1989.60,1942.77,-,2.43%
26-Aug-15,1940.51,1872.75,1943.09,1872.75,-,3.90%
25-Aug-15,1867.61,1898.08,1948.04,1867.08,-,-1.35%
24-Aug-15,1893.21,1965.15,1965.15,1867.01,-,-3.94%
21-Aug-15,1970.89,2034.08,2034.08,1970.89,-,-3.19%
20-Aug-15,2035.73,2076.61,2076.61,2035.73,-,-2.11%
19-Aug-15,2079.61,2095.69,2096.17,2070.53,-,-0.83%
18-Aug-15,2096.92,2101.99,2103.47,2094.14,-,-0.26%
17-Aug-15,2102.44,2089.70,2102.87,2079.30,-,0.52%
14-Aug-15,2091.54,2083.15,2092.45,2080.61,-,0.39%
13-Aug-15,2083.39,2086.19,2092.93,2078.26,-,-0.13%
12-Aug-15,2086.05,2081.10,2089.06,2052.09,-,0.10%
11-Aug-15,2084.07,2102.66,2102.66,2076.49,-,-0.96%
10-Aug-15,2104.18,2080.98,2105.35,2080.98,-,1.28%
7-Aug-15,2077.57,2082.61,2082.61,2067.91,-,-0.29%
6-Aug-15,2083.56,2100.75,2103.32,2075.53,-,-0.78%
5-Aug-15,2099.84,2095.27,2112.66,2095.27,-,0.31%
4-Aug-15,2093.32,2097.68,2102.51,2088.60,-,-0.22%
3-Aug-15,2098.04,2104.49,2105.70,2087.31,-,-0.28%
31-Jul-15,2103.84,2111.60,2114.24,2102.07,-,-0.23%
30-Jul-15,2108.63,2106.78,2110.48,2094.97,-,0.00%
29-Jul-15,2108.57,2094.70,2110.60,2094.08,-,0.73%
28-Jul-15,2093.25,2070.75,2095.60,2069.09,-,1.24%
27-Jul-15,2067.64,2078.19,2078.19,2063.52,-,-0.58%
24-Jul-15,2079.65,2102.24,2106.01,2077.09,-,-1.07%
23-Jul-15,2102.15,2114.16,2116.87,2098.63,-,-0.57%
22-Jul-15,2114.15,2118.21,2118.51,2110.00,-,-0.24%
21-Jul-15,2119.21,2127.55,2128.49,2115.40,-,-0.43%
20-Jul-15,2128.28,2126.85,2132.82,2123.65,-,0.08%
17-Jul-15,2126.64,2126.80,2128.91,2119.88,-,0.11%
16-Jul-15,2124.29,2110.55,2124.42,2110.55,-,0.80%
15-Jul-15,2107.40,2109.01,2114.14,2102.49,-,-0.07%
14-Jul-15,2108.95,2099.72,2111.98,2098.18,-,0.45%
13-Jul-15,2099.60,2080.03,2100.67,2080.03,-,1.11%
10-Jul-15,2076.62,2052.74,2081.31,2052.74,-,1.23%
9-Jul-15,2051.31,2049.73,2074.28,2049.73,-,0.23%
8-Jul-15,2046.68,2077.66,2077.66,2044.66,-,-1.67%
7-Jul-15,2081.34,2069.52,2083.74,2044.02,-,0.61%
6-Jul-15,2068.76,2073.95,2078.61,2058.40,-,-0.39%
2-Jul-15,2076.78,2078.03,2085.06,2071.02,-,-0.03%
1-Jul-15,2077.42,2067.00,2082.78,2067.00,-,0.69%
30-Jun-15,2063.11,2061.19,2074.28,2056.32,-,0.27%
29-Jun-15,2057.64,2098.63,2098.63,2056.64,-,-2.09%
26-Jun-15,2101.49,2102.62,2108.92,2095.38,-,-0.04%
25-Jun-15,2102.31,2109.96,2116.04,2101.78,-,-0.30%
24-Jun-15,2108.58,2123.65,2125.10,2108.58,-,-0.74%
23-Jun-15,2124.20,2123.16,2128.03,2119.89,-,0.06%
22-Jun-15,2122.85,2112.50,2129.87,2112.50,-,0.61%
19-Jun-15,2109.99,2121.06,2121.64,2109.45,-,-0.53%
18-Jun-15,2121.24,2101.58,2126.65,2101.58,-,0.99%
17-Jun-15,2100.44,2097.40,2106.79,2088.86,-,0.20%
16-Jun-15,2096.29,2084.26,2097.40,2082.10,-,0.57%
15-Jun-15,2084.43,2091.34,2091.34,2072.49,-,-0.46%
12-Jun-15,2094.11,2107.43,2107.43,2091.33,-,-0.70%
11-Jun-15,2108.86,2106.24,2115.02,2106.24,-,0.17%
10-Jun-15,2105.20,2081.12,2108.50,2081.12,-,1.20%
9-Jun-15,2080.15,2079.07,2085.62,2072.14,-,0.04%
8-Jun-15,2079.28,2092.34,2093.01,2079.11,-,-0.65%
5-Jun-15,2092.83,2095.09,2100.99,2085.67,-,-0.14%
4-Jun-15,2095.84,2112.35,2112.89,2093.23,-,-0.86%
3-Jun-15,2114.07,2110.64,2121.92,2109.61,-,0.21%
2-Jun-15,2109.60,2110.41,2117.59,2099.14,-,-0.10%
1-Jun-15,2111.73,2108.64,2119.15,2102.54,-,0.21%
29-May-15,2107.39,2120.66,2120.66,2104.89,-,-0.63%
28-May-15,2120.79,2122.27,2122.27,2112.86,-,-0.13%
27-May-15,2123.48,2105.13,2126.22,2105.13,-,0.92%
26-May-15,2104.20,2125.34,2125.34,2099.18,-,-1.03%
22-May-15,2126.06,2130.36,2132.15,2126.06,-,-0.22%
21-May-15,2130.82,2125.55,2134.28,2122.95,-,0.23%
20-May-15,2125.85,2127.79,2134.72,2122.59,-,-0.09%
19-May-15,2127.83,2129.45,2133.02,2124.50,-,-0.06%
18-May-15,2129.20,2121.30,2131.78,2120.01,-,0.30%
15-May-15,2122.73,2122.07,2123.89,2116.79,-,0.08%
14-May-15,2121.10,2100.43,2121.45,2100.43,-,1.08%
13-May-15,2098.48,2099.62,2110.19,2096.04,-,-0.03%
12-May-15,2099.12,2102.87,2105.06,2085.57,-,-0.29%
11-May-15,2105.33,2115.56,2117.69,2104.58,-,-0.51%
8-May-15,2116.10,2092.13,2117.66,2092.13,-,1.35%
7-May-15,2088.00,2079.96,2092.90,2074.99,-,0.38%
6-May-15,2080.15,2091.26,2098.42,2067.93,-,-0.45%
5-May-15,2089.46,2112.63,2115.24,2088.46,-,-1.18%
4-May-15,2114.49,2110.23,2120.95,2110.23,-,0.29%
1-May-15,2108.29,2087.38,2108.41,2087.38,-,1.09%
30-Apr-15,2085.51,2105.52,2105.52,2077.59,-,-1.01%
29-Apr-15,2106.85,2112.49,2113.65,2097.41,-,-0.37%
28-Apr-15,2114.76,2108.35,2116.09,2094.89,-,0.28%
27-Apr-15,2108.92,2119.29,2125.92,2107.04,-,-0.41%
24-Apr-15,2117.69,2112.80,2120.92,2112.80,-,0.23%
23-Apr-15,2112.93,2107.21,2120.49,2103.19,-,0.24%
22-Apr-15,2107.96,2098.27,2109.98,2091.05,-,0.51%
21-Apr-15,2097.29,2102.82,2109.64,2094.38,-,-0.15%
20-Apr-15,2100.40,2084.11,2103.94,2084.11,-,0.92%
17-Apr-15,2081.18,2102.58,2102.58,2072.37,-,-1.13%
16-Apr-15,2104.99,2105.96,2111.30,2100.02,-,-0.08%
15-Apr-15,2106.63,2097.82,2111.91,2097.82,-,0.51%
14-Apr-15,2095.84,2092.28,2098.62,2083.24,-,0.16%
13-Apr-15,2092.43,2102.03,2107.65,2092.33,-,-0.46%
10-Apr-15,2102.06,2091.51,2102.61,2091.51,-,0.52%
9-Apr-15,2091.18,2081.29,2093.31,2074.29,-,0.45%
8-Apr-15,2081.90,2076.94,2086.69,2073.30,-,0.27%
7-Apr-15,2076.33,2080.79,2089.81,2076.10,-,-0.21%
6-Apr-15,2080.62,2064.87,2086.99,2056.52,-,0.66%
2-Apr-15,2066.96,2060.03,2072.17,2057.32,-,0.35%
1-Apr-15,2059.69,2067.63,2067.63,2048.38,-,-0.40%
31-Mar-15,2067.89,2084.05,2084.05,2067.04,-,-0.88%
30-Mar-15,2086.24,2064.11,2088.97,2064.11,-,1.22%
27-Mar-15,2061.02,2055.78,2062.83,2052.96,-,0.24%
26-Mar-15,2056.15,2059.94,2067.15,2045.50,-,-0.24%
25-Mar-15,2061.05,2093.10,2097.43,2061.05,-,-1.46%
24-Mar-15,2091.50,2103.94,2107.63,2091.50,-,-0.61%
23-Mar-15,2104.42,2107.99,2114.86,2104.42,-,-0.17%
20-Mar-15,2108.10,2090.32,2113.92,2090.32,-,0.90%
19-Mar-15,2089.27,2098.69,2098.69,2085.56,-,-0.49%
18-Mar-15,2099.50,2072.84,2106.85,2061.23,-,1.22%
17-Mar-15,2074.28,2080.59,2080.59,2065.08,-,-0.33%
16-Mar-15,2081.19,2055.35,2081.41,2055.35,-,1.35%
13-Mar-15,2053.40,2064.56,2064.56,2041.17,-,-0.61%
12-Mar-15,2065.95,2041.10,2066.41,2041.10,-,1.26%
11-Mar-15,2040.24,2044.69,2050.08,2039.69,-,-0.19%
10-Mar-15,2044.16,2076.14,2076.14,2044.16,-,-1.70%
9-Mar-15,2079.43,2072.25,2083.49,2072.21,-,0.39%
6-Mar-15,2071.26,2100.91,2100.91,2067.27,-,-1.42%
5-Mar-15,2101.04,2098.54,2104.25,2095.22,-,0.12%
4-Mar-15,2098.53,2107.72,2107.72,2087.62,-,-0.44%
3-Mar-15,2107.78,2115.76,2115.76,2098.26,-,-0.45%
2-Mar-15,2117.39,2105.23,2117.52,2104.50,-,0.61%
27-Feb-15,2104.50,2110.88,2112.74,2103.75,-,-0.30%
26-Feb-15,2110.74,2113.91,2113.91,2103.76,-,-0.15%
25-Feb-15,2113.86,2115.30,2119.59,2109.89,-,-0.08%
24-Feb-15,2115.48,2109.10,2117.94,2105.87,-,0.28%
23-Feb-15,2109.66,2109.83,2110.05,2103.00,-,-0.03%
20-Feb-15,2110.30,2097.65,2110.61,2085.44,-,0.61%
19-Feb-15,2097.45,2099.25,2102.13,2090.79,-,-0.11%
18-Feb-15,2099.68,2099.16,2100.23,2092.15,-,-0.03%
17-Feb-15,2100.34,2096.47,2101.30,2089.80,-,0.16%
13-Feb-15,2096.99,2088.78,2097.03,2086.70,-,0.41%
12-Feb-15,2088.48,2069.98,2088.53,2069.98,-,0.96%
11-Feb-15,2068.53,2068.55,2073.48,2057.99,-,0.00%
10-Feb-15,2068.59,2049.38,2070.86,2048.62,-,1.07%
9-Feb-15,2046.74,2053.47,2056.16,2041.88,-,-0.42%
6-Feb-15,2055.47,2062.28,2072.40,2049.97,-,-0.34%
5-Feb-15,2062.52,2043.45,2063.55,2043.45,-,1.03%
4-Feb-15,2041.51,2048.86,2054.74,2036.72,-,-0.42%
3-Feb-15,2050.03,2022.71,2050.30,2022.71,-,1.44%
2-Feb-15,2020.85,1996.67,2021.66,1980.90,-,1.30%
30-Jan-15,1994.99,2019.35,2023.32,1993.38,-,-1.30%
29-Jan-15,2021.25,2002.45,2024.64,1989.18,-,0.95%
28-Jan-15,2002.16,2032.34,2042.49,2001.49,-,-1.35%
27-Jan-15,2029.55,2047.86,2047.86,2019.91,-,-1.34%
26-Jan-15,2057.09,2050.42,2057.62,2040.97,-,0.26%
23-Jan-15,2051.82,2062.98,2062.98,2050.54,-,-0.55%
22-Jan-15,2063.15,2034.30,2064.62,2026.38,-,1.53%
21-Jan-15,2032.12,2020.19,2038.29,2012.04,-,0.47%
20-Jan-15,2022.55,2020.76,2028.94,2004.49,-,0.15%
16-Jan-15,2019.42,1992.25,2020.46,1988.12,-,1.34%
15-Jan-15,1992.67,2013.75,2021.35,1991.47,-,-0.92%
14-Jan-15,2011.27,2018.40,2018.40,1988.44,-,-0.58%
13-Jan-15,2023.03,2031.58,2056.93,2008.25,-,-0.26%
12-Jan-15,2028.26,2046.13,2049.30,2022.58,-,-0.81%
9-Jan-15,2044.81,2063.45,2064.43,2038.33,-,-0.84%
8-Jan-15,2062.14,2030.61,2064.08,2030.61,-,1.79%
7-Jan-15,2025.90,2005.55,2029.61,2005.55,-,1.16%
6-Jan-15,2002.61,2022.15,2030.25,1992.44,-,-0.89%
5-Jan-15,2020.58,2054.44,2054.44,2017.34,-,-1.83%
2-Jan-15,2058.20,2058.90,2072.36,2046.04,-,-0.03%
31-Dec-14,2058.90,2082.11,2085.58,2057.94,-,-1.03%
30-Dec-14,2080.35,2088.49,2088.49,2079.53,-,-0.49%
29-Dec-14,2090.57,2087.63,2093.55,2085.75,-,0.09%
26-Dec-14,2088.77,2084.30,2092.70,2084.30,-,0.33%
24-Dec-14,2081.88,2083.25,2087.56,2081.86,-,-0.01%
23-Dec-14,2082.17,2081.48,2086.73,2079.77,-,0.17%
22-Dec-14,2078.54,2069.28,2078.76,2069.28,-,0.38%
19-Dec-14,2070.65,2061.04,2077.85,2061.03,-,0.46%
18-Dec-14,2061.23,2018.98,2061.23,2018.98,-,2.40%
17-Dec-14,2012.89,1973.77,2016.75,1973.77,-,2.04%
16-Dec-14,1972.74,1986.71,2016.89,1972.56,-,-0.85%
15-Dec-14,1989.63,2005.03,2018.69,1982.26,-,-0.63%
12-Dec-14,2002.33,2030.36,2032.25,2002.33,-,-1.62%
11-Dec-14,2035.33,2027.92,2055.53,2027.92,-,0.45%
10-Dec-14,2026.14,2058.86,2058.86,2024.26,-,-1.64%
9-Dec-14,2059.82,2056.55,2060.60,2034.17,-,-0.02%
8-Dec-14,2060.31,2074.84,2075.78,2054.27,-,-0.73%
5-Dec-14,2075.37,2072.78,2079.47,2070.81,-,0.17%
4-Dec-14,2071.92,2073.64,2077.34,2062.34,-,-0.12%
3-Dec-14,2074.33,2067.45,2076.28,2066.65,-,0.38%
2-Dec-14,2066.55,2053.77,2068.77,2053.77,-,0.64%
1-Dec-14,2053.44,2065.78,2065.78,2049.57,-,-0.68%
28-Nov-14,2067.56,2074.78,2075.76,2065.06,-,-0.25%
26-Nov-14,2072.83,2067.36,2073.29,2066.62,-,0.28%
25-Nov-14,2067.03,2070.15,2074.21,2064.75,-,-0.12%
24-Nov-14,2069.41,2065.07,2070.17,2065.07,-,0.29%
21-Nov-14,2063.50,2057.46,2071.46,2056.75,-,0.52%
20-Nov-14,2052.75,2045.87,2053.84,2040.49,-,0.20%
19-Nov-14,2048.72,2051.16,2052.14,2040.37,-,-0.15%
18-Nov-14,2051.80,2041.48,2056.08,2041.48,-,0.51%
17-Nov-14,2041.32,2038.29,2043.07,2034.46,-,0.07%
14-Nov-14,2039.82,2039.74,2042.22,2035.20,-,0.02%
13-Nov-14,2039.33,2039.21,2046.18,2030.44,-,0.05%
12-Nov-14,2038.25,2037.75,2040.33,2031.95,-,-0.07%
11-Nov-14,2039.68,2038.20,2041.28,2035.28,-,0.07%
10-Nov-14,2038.26,2032.01,2038.70,2030.17,-,0.31%
7-Nov-14,2031.92,2032.36,2034.26,2025.07,-,0.03%
6-Nov-14,2031.21,2023.33,2031.61,2015.86,-,0.38%
5-Nov-14,2023.57,2015.29,2023.77,2014.42,-,0.57%
4-Nov-14,2012.10,2015.81,2015.98,2001.01,-,-0.28%
3-Nov-14,2017.81,2018.21,2024.46,2013.68,-,-0.01%
31-Oct-14,2018.05,2001.20,2018.19,2001.20,-,1.17%
30-Oct-14,1994.65,1979.49,1999.40,1974.75,-,0.62%
29-Oct-14,1982.30,1983.29,1991.40,1969.04,-,-0.14%
28-Oct-14,1985.05,1964.14,1985.05,1964.14,-,1.19%
27-Oct-14,1961.63,1962.97,1964.64,1951.37,-,-0.15%
24-Oct-14,1964.58,1951.59,1965.27,1946.27,-,0.71%
23-Oct-14,1950.82,1931.02,1961.95,1931.02,-,1.23%
22-Oct-14,1927.11,1941.29,1949.31,1926.83,-,-0.73%
21-Oct-14,1941.28,1909.38,1942.45,1909.38,-,1.96%
20-Oct-14,1904.01,1885.62,1905.03,1882.30,-,0.91%
17-Oct-14,1886.76,1864.91,1898.16,1864.91,-,1.29%
16-Oct-14,1862.76,1855.95,1876.01,1835.02,-,0.01%
15-Oct-14,1862.49,1874.18,1874.18,1820.66,-,-0.81%
14-Oct-14,1877.70,1877.11,1898.71,1871.79,-,0.16%
13-Oct-14,1874.74,1905.65,1912.09,1874.14,-,-1.65%
10-Oct-14,1906.13,1925.63,1936.98,1906.05,-,-1.15%
9-Oct-14,1928.21,1967.68,1967.68,1927.56,-,-2.07%
8-Oct-14,1968.89,1935.55,1970.36,1925.25,-,1.75%
7-Oct-14,1935.10,1962.36,1962.36,1934.87,-,-1.51%
6-Oct-14,1964.82,1970.01,1977.84,1958.43,-,-0.16%
3-Oct-14,1967.90,1948.12,1971.19,1948.12,-,1.12%
2-Oct-14,1946.17,1945.83,1952.32,1926.03,-,0.00%
1-Oct-14,1946.16,1971.44,1971.44,1941.72,-,-1.32%
30-Sep-14,1972.29,1978.21,1985.17,1968.96,-,-0.28%
29-Sep-14,1977.80,1978.96,1981.28,1964.04,-,-0.25%
26-Sep-14,1982.85,1966.22,1986.37,1966.22,-,0.86%
25-Sep-14,1965.99,1997.32,1997.32,1965.99,-,-1.62%
24-Sep-14,1998.30,1983.34,1999.79,1978.63,-,0.78%
23-Sep-14,1982.77,1992.78,1995.41,1982.77,-,-0.58%
22-Sep-14,1994.29,2009.08,2009.08,1991.01,-,-0.80%
19-Sep-14,2010.40,2012.74,2019.26,2006.59,-,-0.05%
18-Sep-14,2011.36,2003.07,2012.34,2003.07,-,0.49%
17-Sep-14,2001.57,1999.30,2010.74,1993.29,-,0.13%
16-Sep-14,1998.98,1981.93,2002.28,1979.06,-,0.75%
15-Sep-14,1984.13,1986.04,1987.18,1978.48,-,-0.07%
12-Sep-14,1985.54,1996.74,1996.74,1980.26,-,-0.60%
11-Sep-14,1997.45,1992.85,1997.65,1985.93,-,0.09%
10-Sep-14,1995.69,1988.41,1996.66,1982.99,-,0.36%
9-Sep-14,1988.44,2000.73,2001.01,1984.61,-,-0.65%
8-Sep-14,2001.54,2007.17,2007.17,1995.60,-,-0.31%
5-Sep-14,2007.71,1998.00,2007.71,1990.10,-,0.50%
4-Sep-14,1997.65,2001.67,2011.17,1992.54,-,-0.15%
3-Sep-14,2000.72,2003.57,2009.28,1998.14,-,-0.08%
2-Sep-14,2002.28,2004.07,2006.12,1994.85,-,-0.05%
29-Aug-14,2003.37,1998.45,2003.38,1994.65,-,0.33%
28-Aug-14,1996.74,1997.42,1998.55,1990.52,-,-0.17%
27-Aug-14,2000.12,2000.54,2002.14,1996.20,-,0.00%
26-Aug-14,2000.02,1998.59,2005.04,1998.59,-,0.11%
25-Aug-14,1997.92,1991.74,2001.95,1991.74,-,0.48%
22-Aug-14,1988.40,1992.60,1993.54,1984.76,-,-0.20%
21-Aug-14,1992.37,1986.82,1994.76,1986.82,-,0.29%
20-Aug-14,1986.51,1980.46,1988.57,1977.68,-,0.25%
19-Aug-14,1981.60,1972.73,1982.57,1972.73,-,0.50%
18-Aug-14,1971.74,1958.36,1971.99,1958.36,-,0.85%
15-Aug-14,1955.06,1958.87,1964.04,1941.50,-,-0.01%
14-Aug-14,1955.18,1947.41,1955.23,1947.41,-,0.43%
13-Aug-14,1946.72,1935.60,1948.41,1935.60,-,0.67%
12-Aug-14,1933.75,1935.73,1939.65,1928.29,-,-0.16%
11-Aug-14,1936.92,1933.43,1944.90,1933.43,-,0.28%
8-Aug-14,1931.59,1910.35,1932.38,1909.01,-,1.15%
7-Aug-14,1909.57,1923.03,1928.89,1904.78,-,-0.56%
6-Aug-14,1920.24,1917.29,1927.91,1911.45,-,0.00%
5-Aug-14,1920.21,1936.34,1936.34,1913.77,-,-0.97%
4-Aug-14,1938.99,1926.62,1942.92,1921.20,-,0.72%
1-Aug-14,1925.15,1929.80,1937.35,1916.37,-,-0.29%
31-Jul-14,1930.67,1965.14,1965.14,1930.67,-,-2.00%
30-Jul-14,1970.07,1973.21,1978.90,1962.42,-,0.01%
29-Jul-14,1969.95,1980.03,1984.85,1969.95,-,-0.45%
28-Jul-14,1978.91,1978.25,1981.52,1967.31,-,0.03%
25-Jul-14,1978.34,1984.60,1984.60,1974.37,-,-0.48%
24-Jul-14,1987.98,1988.07,1991.39,1985.79,-,0.05%
23-Jul-14,1987.01,1985.32,1989.23,1982.44,-,0.18%
22-Jul-14,1983.53,1975.65,1986.24,1975.65,-,0.50%
21-Jul-14,1973.63,1976.93,1976.93,1965.77,-,-0.23%
18-Jul-14,1978.22,1961.54,1979.91,1960.82,-,1.03%
17-Jul-14,1958.12,1979.75,1981.80,1955.59,-,-1.18%
