Date,Price,Open,High,Low,Vol.,Change %
8-Dec-16,2246.19,2241.13,2251.69,2237.57,-,0.22%
7-Dec-16,2241.35,2210.72,2241.63,2208.93,-,1.32%
6-Dec-16,2212.23,2207.26,2212.78,2202.21,-,0.34%
5-Dec-16,2204.71,2200.65,2209.42,2199.97,-,0.58%
2-Dec-16,2191.95,2191.12,2197.95,2188.37,-,0.04%
1-Dec-16,2191.08,2200.17,2202.60,2187.44,-,-0.35%
30-Nov-16,2198.81,2204.97,2214.10,2198.81,-,-0.27%
29-Nov-16,2204.66,2200.76,2210.46,2198.15,-,0.13%
28-Nov-16,2201.72,2210.21,2211.14,2200.36,-,-0.53%
25-Nov-16,2213.35,2206.27,2213.35,2206.27,-,0.39%
23-Nov-16,2204.72,2198.55,2204.72,2194.51,-,0.08%
22-Nov-16,2202.94,2201.56,2204.80,2194.51,-,0.22%
21-Nov-16,2198.18,2186.43,2198.70,2186.43,-,0.75%
18-Nov-16,2181.90,2186.85,2189.89,2180.38,-,-0.24%
17-Nov-16,2187.12,2178.61,2188.06,2176.65,-,0.47%
16-Nov-16,2176.94,2177.53,2179.22,2172.20,-,-0.16%
15-Nov-16,2180.39,2168.29,2180.84,2166.38,-,0.75%
14-Nov-16,2164.20,2165.64,2171.36,2156.08,-,-0.01%
11-Nov-16,2164.45,2162.71,2165.92,2152.49,-,-0.14%
10-Nov-16,2167.48,2167.49,2182.30,2151.17,-,0.20%
9-Nov-16,2163.26,2131.56,2170.10,2125.35,-,1.11%
8-Nov-16,2139.56,2129.92,2146.87,2123.56,-,0.38%
7-Nov-16,2131.52,2100.59,2132.00,2100.59,-,2.22%
4-Nov-16,2085.18,2083.79,2099.07,2083.79,-,-0.17%
3-Nov-16,2088.66,2098.80,2102.56,2085.23,-,-0.44%
2-Nov-16,2097.94,2109.43,2111.76,2094.00,-,-0.65%
1-Nov-16,2111.72,2128.68,2131.45,2097.85,-,-0.68%
31-Oct-16,2126.15,2129.78,2133.25,2125.53,-,-0.01%
28-Oct-16,2126.41,2132.23,2140.72,2119.36,-,-0.31%
27-Oct-16,2133.04,2144.06,2147.13,2132.52,-,-0.30%
26-Oct-16,2139.43,2136.97,2145.73,2131.59,-,-0.17%
25-Oct-16,2143.16,2149.72,2151.44,2141.93,-,-0.38%
24-Oct-16,2151.33,2148.50,2154.79,2146.91,-,0.47%
21-Oct-16,2141.16,2139.43,2142.63,2130.09,-,-0.01%
20-Oct-16,2141.34,2142.51,2147.18,2133.44,-,-0.14%
19-Oct-16,2144.29,2140.81,2148.44,2138.15,-,0.22%
18-Oct-16,2139.60,2138.31,2144.38,2135.49,-,0.62%
17-Oct-16,2126.50,2132.95,2135.61,2124.43,-,-0.30%
14-Oct-16,2132.98,2139.68,2149.19,2132.98,-,0.02%
13-Oct-16,2132.55,2130.26,2138.19,2114.72,-,-0.31%
12-Oct-16,2139.18,2137.67,2145.36,2132.77,-,0.11%
11-Oct-16,2136.73,2161.35,2161.56,2128.84,-,-1.24%
10-Oct-16,2163.66,2160.39,2169.60,2160.39,-,0.46%
7-Oct-16,2153.74,2164.19,2165.86,2144.85,-,-0.33%
6-Oct-16,2160.77,2158.22,2162.93,2150.28,-,0.05%
5-Oct-16,2159.73,2155.15,2163.95,2155.15,-,0.43%
4-Oct-16,2150.49,2163.37,2165.46,2144.01,-,-0.50%
3-Oct-16,2161.20,2164.33,2164.41,2154.77,-,-0.33%
30-Sep-16,2168.27,2156.51,2175.30,2156.51,-,0.80%
29-Sep-16,2151.13,2168.90,2172.67,2145.20,-,-0.93%
28-Sep-16,2171.37,2161.85,2172.40,2151.79,-,0.53%
27-Sep-16,2159.93,2146.04,2161.13,2141.55,-,0.64%
26-Sep-16,2146.10,2158.54,2158.54,2145.04,-,-0.86%
23-Sep-16,2164.69,2173.29,2173.75,2163.97,-,-0.57%
22-Sep-16,2177.18,2170.94,2179.99,2170.94,-,0.65%
21-Sep-16,2163.12,2144.58,2165.11,2139.57,-,1.09%
20-Sep-16,2139.76,2145.94,2150.80,2139.17,-,0.03%
19-Sep-16,2139.12,2143.99,2153.61,2135.91,-,0.00%
16-Sep-16,2139.16,2146.48,2146.48,2131.20,-,-0.38%
15-Sep-16,2147.26,2125.36,2151.31,2122.36,-,1.01%
14-Sep-16,2125.77,2127.86,2141.33,2119.90,-,-0.06%
13-Sep-16,2127.02,2150.47,2150.47,2120.27,-,-1.48%
12-Sep-16,2159.04,2120.86,2163.30,2119.12,-,1.47%
9-Sep-16,2127.81,2169.08,2169.08,2127.81,-,-2.45%
8-Sep-16,2181.30,2182.76,2184.94,2177.49,-,-0.22%
