Date,Open,Close,Volume,Daily_Price_Change,Price_lag1,Vol_lag1,Price_lag2,Vol_lag2,Price_lag3,Vol_lag3,Price_lag4,Vol_lag4,Price_lag5,Vol_lag5
5/13/13,1632.099976,1633.77002,2910600000,0.001023249,0.004309371,5.03E+12,-0.003687104,5.63E+12,0.004145263,5.79E+12,0.005199166,5.37E+12,0.001920203,4.95E+12
5/14/13,1633.75,1650.339966,3457790000,0.010154532,0.001023249,4.75E+12,0.004309371,5.03E+12,-0.003687104,5.63E+12,0.004145263,5.79E+12,0.005199166,5.37E+12
5/15/13,1649.130005,1658.780029,3657440000,0.005851585,0.010154532,5.68E+12,0.001023249,4.75E+12,0.004309371,5.03E+12,-0.003687104,5.63E+12,0.004145263,5.79E+12
5/16/13,1658.069946,1650.469971,3513130000,-0.004583627,0.005851585,6.05E+12,0.010154532,5.68E+12,0.001023249,4.75E+12,0.004309371,5.03E+12,-0.003687104,5.63E+12
5/17/13,1652.449951,1667.469971,3440710000,0.009089546,-0.004583627,5.81E+12,0.005851585,6.05E+12,0.010154532,5.68E+12,0.001023249,4.75E+12,0.004309371,5.03E+12
5/20/13,1665.709961,1666.290039,3275080000,0.000348247,0.009089546,5.71E+12,-0.004583627,5.81E+12,0.005851585,6.05E+12,0.010154532,5.68E+12,0.001023249,4.75E+12
5/21/13,1666.199951,1669.160034,3513560000,0.001776547,0.000348247,5.46E+12,0.009089546,5.71E+12,-0.004583627,5.81E+12,0.005851585,6.05E+12,0.010154532,5.68E+12
5/22/13,1669.390015,1655.349976,4361020000,-0.008410281,0.001776547,5.86E+12,0.000348247,5.46E+12,0.009089546,5.71E+12,-0.004583627,5.81E+12,0.005851585,6.05E+12
5/23/13,1651.619995,1650.51001,3945510000,-0.000672058,-0.008410281,7.25E+12,0.001776547,5.86E+12,0.000348247,5.46E+12,0.009089546,5.71E+12,-0.004583627,5.81E+12
5/24/13,1646.670044,1649.599976,2758080000,0.001779307,-0.000672058,6.51E+12,-0.008410281,7.25E+12,0.001776547,5.86E+12,0.000348247,5.46E+12,0.009089546,5.71E+12
5/28/13,1652.630005,1660.060059,3457400000,0.004495897,0.001779307,4.55E+12,-0.000672058,6.51E+12,-0.008410281,7.25E+12,0.001776547,5.86E+12,0.000348247,5.46E+12
5/29/13,1656.569946,1648.359985,3587140000,-0.004956,0.004495897,5.73E+12,0.001779307,4.55E+12,-0.000672058,6.51E+12,-0.008410281,7.25E+12,0.001776547,5.86E+12
5/30/13,1649.140015,1654.410034,3498620000,0.003195616,-0.004956,5.93E+12,0.004495897,5.73E+12,0.001779307,4.55E+12,-0.000672058,6.51E+12,-0.008410281,7.25E+12
5/31/13,1652.130005,1630.73999,4099600000,-0.012946932,0.003195616,5.78E+12,-0.004956,5.93E+12,0.004495897,5.73E+12,0.001779307,4.55E+12,-0.000672058,6.51E+12
6/3/13,1631.709961,1640.420044,3952070000,0.005338009,-0.012946932,6.73E+12,0.003195616,5.78E+12,-0.004956,5.93E+12,0.004495897,5.73E+12,0.001779307,4.55E+12
6/4/13,1640.72998,1631.380005,3653840000,-0.005698668,0.005338009,6.47E+12,-0.012946932,6.73E+12,0.003195616,5.78E+12,-0.004956,5.93E+12,0.004495897,5.73E+12
6/5/13,1629.050049,1608.900024,3632350000,-0.012369187,-0.005698668,5.98E+12,0.005338009,6.47E+12,-0.012946932,6.73E+12,0.003195616,5.78E+12,-0.004956,5.93E+12
6/6/13,1609.290039,1622.560059,3547380000,0.008245885,-0.012369187,5.88E+12,-0.005698668,5.98E+12,0.005338009,6.47E+12,-0.012946932,6.73E+12,0.003195616,5.78E+12
6/7/13,1625.27002,1643.380005,3371990000,0.011142755,0.008245885,5.73E+12,-0.012369187,5.88E+12,-0.005698668,5.98E+12,0.005338009,6.47E+12,-0.012946932,6.73E+12
6/10/13,1644.670044,1642.810059,2978730000,-0.001130917,0.011142755,5.51E+12,0.008245885,5.73E+12,-0.012369187,5.88E+12,-0.005698668,5.98E+12,0.005338009,6.47E+12
6/11/13,1638.640015,1626.130005,3435710000,-0.007634386,-0.001130917,4.90E+12,0.011142755,5.51E+12,0.008245885,5.73E+12,-0.012369187,5.88E+12,-0.005698668,5.98E+12
6/12/13,1629.939941,1612.52002,3202550000,-0.010687462,-0.007634386,5.61E+12,-0.001130917,4.90E+12,0.011142755,5.51E+12,0.008245885,5.73E+12,-0.012369187,5.88E+12
6/13/13,1612.150024,1636.359985,3378620000,0.015017189,-0.010687462,5.19E+12,-0.007634386,5.61E+12,-0.001130917,4.90E+12,0.011142755,5.51E+12,0.008245885,5.73E+12
6/14/13,1635.52002,1626.72998,2939400000,-0.005374462,0.015017189,5.49E+12,-0.010687462,5.19E+12,-0.007634386,5.61E+12,-0.001130917,4.90E+12,0.011142755,5.51E+12
6/17/13,1630.640015,1639.040039,3137080000,0.005151366,-0.005374462,4.79E+12,0.015017189,5.49E+12,-0.010687462,5.19E+12,-0.007634386,5.61E+12,-0.001130917,4.90E+12
6/18/13,1639.77002,1651.810059,3120980000,0.007342517,0.005151366,5.13E+12,-0.005374462,4.79E+12,0.015017189,5.49E+12,-0.010687462,5.19E+12,-0.007634386,5.61E+12
6/19/13,1651.829956,1628.930054,3545060000,-0.013863353,0.007342517,5.14E+12,0.005151366,5.13E+12,-0.005374462,4.79E+12,0.015017189,5.49E+12,-0.010687462,5.19E+12
6/20/13,1624.619995,1588.189941,4858850000,-0.022423739,-0.013863353,5.82E+12,0.007342517,5.14E+12,0.005151366,5.13E+12,-0.005374462,4.79E+12,0.015017189,5.49E+12
6/21/13,1588.619995,1592.430054,5797280000,0.002398345,-0.022423739,7.81E+12,-0.013863353,5.82E+12,0.007342517,5.14E+12,0.005151366,5.13E+12,-0.005374462,4.79E+12
6/24/13,1588.77002,1573.089966,4733660000,-0.009869304,0.002398345,9.22E+12,-0.022423739,7.81E+12,-0.013863353,5.82E+12,0.007342517,5.14E+12,0.005151366,5.13E+12
6/25/13,1577.52002,1588.030029,3761170000,0.006662362,-0.009869304,7.48E+12,0.002398345,9.22E+12,-0.022423739,7.81E+12,-0.013863353,5.82E+12,0.007342517,5.14E+12
6/26/13,1592.27002,1603.26001,3558340000,0.006902089,0.006662362,5.95E+12,-0.009869304,7.48E+12,0.002398345,9.22E+12,-0.022423739,7.81E+12,-0.013863353,5.82E+12
6/27/13,1606.439941,1613.199951,3364540000,0.004208069,0.006902089,5.69E+12,0.006662362,5.95E+12,-0.009869304,7.48E+12,0.002398345,9.22E+12,-0.022423739,7.81E+12
